in s,C1 in V
-5.9414796E+00,-8.13105E-02
-5.9413878E+00,6.71270E-02
-5.9412960E+00,5.39434E-02
-5.9412042E+00,6.90801E-02
-5.9411124E+00,6.61504E-02
-5.9410206E+00,-7.88691E-02
-5.9409288E+00,6.46855E-02
-5.9408370E+00,6.85918E-02
-5.9407452E+00,2.80645E-02
-5.9406534E+00,-7.59395E-02
-5.9405616E+00,-6.81270E-02
-5.9404698E+00,-8.27754E-02
-5.9403780E+00,-8.27754E-02
-5.9402862E+00,-6.76387E-02
-5.9401944E+00,3.16211E-03
-5.9401026E+00,6.61504E-02
-5.9400108E+00,4.85723E-02
-5.9399190E+00,6.85918E-02
-5.9398272E+00,5.24785E-02
-5.9397354E+00,1.48809E-02
-5.9396436E+00,3.83184E-02
-5.9395518E+00,1.53691E-02
-5.9394600E+00,-8.52168E-02
-5.9393682E+00,-7.30098E-02
-5.9392764E+00,-2.61348E-02
-5.9391846E+00,3.39238E-02
-5.9390928E+00,-1.78340E-02
-5.9390010E+00,-8.47285E-02
-5.9389092E+00,-7.93574E-02
-5.9388174E+00,-4.46895E-02
-5.9387256E+00,-5.64082E-02
-5.9386338E+00,-1.05098E-02
-5.9385420E+00,-7.00801E-02
-5.9384502E+00,-3.98066E-02
-5.9383584E+00,2.17168E-02
-5.9382666E+00,-5.88496E-02
-5.9381748E+00,-3.83418E-02
-5.9380830E+00,7.00566E-02
-5.9379912E+00,6.17559E-02
-5.9378994E+00,5.98027E-02
-5.9378076E+00,6.37090E-02
-5.9377158E+00,5.60352E-03
-5.9376240E+00,-8.61934E-02
-5.9375322E+00,-5.54316E-02
-5.9374404E+00,-7.15449E-02
-5.9373486E+00,5.68730E-02
-5.9372568E+00,-7.05684E-02
-5.9371650E+00,-1.78340E-02
-5.9370732E+00,7.10332E-02
-5.9369814E+00,-8.47285E-02
-5.9368896E+00,-6.22676E-02
-5.9367978E+00,-5.93379E-02
-5.9367060E+00,6.95684E-02
-5.9366142E+00,-5.13867E-03
-5.9365224E+00,-7.44141E-04
-5.9364306E+00,-7.98457E-02
-5.9363388E+00,-8.06836E-03
-5.9362470E+00,6.56621E-02
-5.9361552E+00,-3.10176E-02
-5.9360634E+00,-5.49434E-02
-5.9359716E+00,-6.81270E-02
-5.9358798E+00,-3.18555E-03
-5.9357880E+00,-3.63887E-02
-5.9356962E+00,-8.27754E-02
-5.9356044E+00,4.80840E-02
-5.9355126E+00,-3.54121E-02
-5.9354208E+00,4.80840E-02
-5.9353290E+00,-2.27168E-02
-5.9352372E+00,6.76152E-02
-5.9351454E+00,6.71270E-02
-5.9350536E+00,-6.22676E-02
-5.9349618E+00,-2.90645E-02
-5.9348700E+00,-1.44160E-02
-5.9347782E+00,5.63848E-02
-5.9346864E+00,-5.20137E-02
-5.9345946E+00,-7.20332E-02
-5.9345028E+00,2.31816E-02
-5.9344110E+00,-2.51582E-02
-5.9343192E+00,-8.17988E-02
-5.9342274E+00,-7.10566E-02
-5.9341356E+00,6.27324E-02
-5.9340438E+00,7.88457E-02
-5.9339520E+00,3.34355E-02
-5.9338602E+00,5.88262E-02
-5.9337684E+00,-2.85762E-02
-5.9336766E+00,-5.39668E-02
-5.9335848E+00,-7.54512E-02
-5.9334930E+00,6.81035E-02
-5.9334012E+00,7.54277E-02
-5.9333094E+00,-5.39668E-02
-5.9332176E+00,-7.20332E-02
-5.9331258E+00,5.83379E-02
-5.9330340E+00,3.09941E-02
-5.9329422E+00,-6.08027E-02
-5.9328504E+00,-5.13867E-03
-5.9327586E+00,3.88066E-02
-5.9326668E+00,7.44512E-02
-5.9325750E+00,-8.22871E-02
-5.9324832E+00,-5.15254E-02
-5.9323914E+00,-1.49043E-02
-5.9322996E+00,1.19512E-02
-5.9322078E+00,3.39238E-02
-5.9321160E+00,-7.39863E-02
-5.9320242E+00,5.54082E-02
-5.9319324E+00,5.15020E-02
-5.9318406E+00,-6.56855E-02
-5.9317488E+00,-4.71309E-02
-5.9316570E+00,7.73809E-02
-5.9315652E+00,-7.69160E-02
-5.9314734E+00,7.15215E-02
-5.9313816E+00,1.24395E-02
-5.9312898E+00,-5.05488E-02
-5.9311980E+00,8.42168E-02
-5.9311062E+00,-7.88691E-02
-5.9310144E+00,7.34746E-02
-5.9309226E+00,-3.39473E-02
-5.9308308E+00,3.73418E-02
-5.9307390E+00,-7.20332E-02
-5.9306472E+00,4.13867E-03
-5.9305554E+00,-5.93379E-02
