Time(s),Voltage(V)
-5.9295456,0.00236133
-5.9294538,0.00919727
-5.929362,0.00529102
-5.9292702,-0.00349805
-5.9291784,0.00529102
-5.9290866,0.0326348
-5.9289948,0.0082207
-5.928903,0.0228691
-5.9288112,0.00529102
-5.9287194,-0.00154492
-5.9286276,0.00968555
-5.9285358,0.0140801
-5.928444,-0.00496289
-5.9283522,0.0057793
-5.9282604,0.00675586
-5.9281686,0.0126152
-5.9280768,0.0199395
-5.927985,0.0165215
-5.9278932,0.0160332
-5.9278014,0.0160332
-5.9277096,0.00626758
-5.9276178,0.020916
-5.927526,0.0101738
-5.9274342,0.0140801
-5.9273424,0.0126152
-5.9272506,0.0253105
-5.9271588,0.0214043
-5.927067,0.0179863
-5.9269752,0.0116387
-5.9268834,0.0204277
-5.9267916,0.0511895
-5.9266998,0.0150566
-5.926608,0.0262871
-5.9265162,0.00968555
-5.9264244,0.00870898
-5.9263326,-0.000568359
-5.9262408,-0.00252148
-5.926149,-0.00349805
-5.9260572,0.00480273
-5.9259654,0.000896484
-5.9258736,-8.00781e-05
-5.9257818,-0.00447461
-5.92569,-0.00838086
-5.9255982,0.00333789
-5.9255064,0.00480273
-5.9254146,0.000408203
-5.9253228,0.000896484
-5.925231,0.00870898
-5.9251392,0.00870898
-5.9250474,0.00529102
-5.9249556,0.00333789
-5.9248638,0.0131035
-5.924772,0.0155449
-5.9246802,-0.00496289
-5.9245884,-0.00789258
-5.9244966,0.00333789
-5.9244048,0.00480273
-5.924313,0.012127
-5.9242212,0.00968555
-5.9241294,0.0267754
-5.9240376,0.0106621
-5.9239458,0.00284961
-5.923854,0.00236133
-5.9237622,0.000408203
-5.9236704,0.00919727
-5.9235786,0.0336113
-5.9234868,0.00284961
-5.923395,-0.0020332
-5.9233032,-0.00545117
-5.9232114,0.0082207
-5.9231196,0.00480273
-5.9230278,0.00626758
-5.922936,-0.0240059
-5.9228442,0.0057793
-5.9227524,-0.010334
-5.9226606,-0.00349805
-5.9225688,-0.00447461
-5.922477,-0.0196113
-5.9223852,0.00870898
-5.9222934,-0.0132637
-5.9222016,-0.000568359
-5.9221098,-0.0098457
-5.922018,0.012127
-5.9219262,-0.00252148
-5.9218344,0.000408203
-5.9217426,-0.00886914
-5.9216508,0.00382617
-5.921559,-0.00252148
-5.9214672,-0.0020332
-5.9213754,0.000896484
-5.9212836,0.00333789
-5.9211918,-8.00781e-05
-5.9211,0.00284961
-5.9210082,-0.00398633
-5.9209164,-0.00398633
-5.9208246,-0.00789258
-5.9207328,0.00236133
-5.920641,-0.00496289
-5.9205492,-0.0132637
-5.9204574,0.000408203
-5.9203656,-0.0074043
-5.9202738,-0.00642773
-5.920182,-0.0074043
-5.9200902,-0.0142402
-5.9199984,-0.00349805
-5.9199066,-0.00545117
-5.9198148,-0.0147285
-5.919723,-0.0122871
-5.9196312,-0.00691602
-5.9195394,0.0140801
-5.9194476,-0.00496289
-5.9193558,-0.0074043
-5.919264,0.00529102
-5.9191722,-0.0117988
-5.9190804,-0.0074043
-5.9189886,-0.00691602
-5.9188968,-0.0122871
-5.918805,-0.0117988
-5.9187132,-0.0157051
-5.9186214,-0.0122871
-5.9185296,-0.0098457
-5.9184378,-0.0122871
-5.918346,-0.010334
-5.9182542,-0.0181465
-5.9181624,-0.0220527
-5.9180706,-0.0274238
-5.9179788,-0.0147285
-5.917887,-0.0132637
-5.9177952,-0.0142402
-5.9177034,-0.0215645
-5.9176116,-0.0157051
-5.9175198,-0.00789258
-5.917428,-0.022541
-5.9173362,-0.034748
-5.9172444,-0.029377
-5.9171526,-0.0161934
-5.9170608,-0.0132637
-5.916969,-0.0176582
-5.9168772,-0.0176582
-5.9167854,-0.0210762
-5.9166936,-0.0235176
-5.9166018,-0.0074043
-5.91651,-0.010334
-5.9164182,0.0218926
-5.9163264,-0.0098457
-5.9162346,-0.00252148
-5.9161428,-0.00642773
-5.916051,-0.0147285
-5.9159592,-0.0132637
-5.9158674,-0.00935742
-5.9157756,-0.0264473
-5.9156838,0.00284961
-5.915592,-0.0147285
-5.9155002,-0.00252148
-5.9154084,-0.00105664
-5.9153166,-0.00886914
-5.9152248,0.0179863
-5.915133,-0.0113105
-5.9150412,-0.0205879
-5.9149494,-0.019123
-5.9148576,0.00870898
-5.9147658,-0.0117988
-5.914674,0.0126152
-5.9145822,-0.00398633
-5.9144904,-0.00642773
-5.9143986,-0.00349805
-5.9143068,0.00870898
-5.914215,-0.010334
-5.9141232,-0.0308418
-5.9140314,0.00431445
-5.9139396,-0.0196113
-5.9138478,-0.0117988
